"日付","始値","高値","安値","終値","出来高","前日比","貸株残高","融資残高","貸借倍率","逆日歩"
"2020/01/06","5,815.0","5,835.0","5,675.0","5,690.0","64,500","-145.0","0","6,200","0.00","-"
"2020/01/07","5,750.0","5,845.0","5,720.0","5,795.0","44,300","+105.0","0","5,800","0.00","-"
"2020/01/08","5,700.0","5,800.0","5,600.0","5,690.0","54,200","-105.0","0","5,800","0.00","-"
"2020/01/09","5,800.0","5,985.0","5,800.0","5,950.0","66,700","+260.0","0","5,700","0.00","-"
"2020/01/10","5,945.0","6,070.0","5,890.0","5,970.0","58,400","+20.0","0","5,600","0.00","-"
"2020/01/14","6,090.0","6,170.0","6,040.0","6,120.0","94,800","+150.0","0","5,600","0.00","-"
"2020/01/15","6,120.0","6,150.0","6,015.0","6,045.0","67,300","-75.0","0","6,200","0.00","-"
"2020/01/16","6,035.0","6,050.0","5,885.0","5,900.0","57,600","-145.0","0","6,100","0.00","-"
"2020/01/17","5,945.0","5,945.0","5,830.0","5,890.0","40,500","-10.0","0","6,100","0.00","-"
"2020/01/20","5,890.0","6,025.0","5,890.0","5,940.0","31,900","+50.0","0","7,400","0.00","-"
"2020/01/21","5,985.0","6,030.0","5,880.0","6,010.0","40,800","+70.0","0","6,900","0.00","-"
"2020/01/22","6,055.0","6,080.0","5,990.0","6,045.0","34,600","+35.0","0","7,000","0.00","-"
"2020/01/23","6,035.0","6,075.0","6,015.0","6,065.0","34,100","+20.0","0","7,000","0.00","-"
"2020/01/24","6,085.0","6,145.0","6,015.0","6,140.0","57,600","+75.0","0","7,200","0.00","-"
"2020/01/27","6,025.0","6,110.0","6,005.0","6,050.0","37,900","-90.0","0","32,400","0.00","-"
"2020/01/28","6,000.0","6,130.0","5,980.0","6,125.0","59,800","+75.0","0","33,600","0.00","-"
"2020/01/29","6,120.0","6,160.0","6,050.0","6,160.0","87,300","+35.0","0","40,300","0.00","-"
"2020/01/30","6,080.0","6,110.0","5,690.0","5,750.0","354,900","-410.0","0","67,900","0.00","-"
"2020/01/31","5,650.0","5,670.0","5,100.0","5,140.0","290,900","-610.0","0","79,700","0.00","-"
"2020/02/03","4,850.0","5,090.0","4,850.0","4,990.0","151,500","-150.0","0","22,200","0.00","-"
"2020/02/04","4,925.0","4,995.0","4,905.0","4,930.0","86,300","-60.0","0","22,100","0.00","-"
"2020/02/05","5,010.0","5,040.0","4,960.0","4,960.0","47,400","+30.0","0","21,600","0.00","-"
"2020/02/06","5,000.0","5,140.0","4,960.0","5,100.0","65,700","+140.0","0","21,500","0.00","-"
"2020/02/07","5,070.0","5,340.0","5,070.0","5,340.0","80,500","+240.0","0","20,600","0.00","-"
"2020/02/10","5,300.0","5,300.0","5,170.0","5,220.0","45,400","-120.0","0","20,800","0.00","-"
"2020/02/12","5,230.0","5,280.0","5,160.0","5,240.0","26,000","+20.0","0","20,600","0.00","-"
"2020/02/13","5,240.0","5,250.0","5,180.0","5,250.0","29,300","+10.0","0","20,600","0.00","-"
"2020/02/14","5,190.0","5,440.0","5,190.0","5,410.0","70,300","+160.0","0","20,600","0.00","-"
