"日付","始値","高値","安値","終値","前日比"
"2013/01/04","10,604.50","10,734.23","10,602.24","10,688.11","+292.93"
"2013/01/07","10,743.69","10,743.69","10,589.70","10,599.01","-89.10"
"2013/01/08","10,544.21","10,602.12","10,463.43","10,508.06","-90.95"
"2013/01/09","10,405.67","10,620.70","10,398.61","10,578.57","+70.51"
"2013/01/10","10,635.11","10,686.12","10,619.65","10,652.64","+74.07"
"2013/01/11","10,786.14","10,830.43","10,748.06","10,801.57","+148.93"
"2013/01/15","10,914.65","10,952.31","10,851.66","10,879.08","+77.51"
"2013/01/16","10,806.41","10,806.41","10,591.30","10,600.44","-278.64"
"2013/01/17","10,660.94","10,694.85","10,432.97","10,609.64","+9.20"
"2013/01/18","10,791.97","10,913.30","10,787.12","10,913.30","+303.66"
"2013/01/21","10,941.45","10,941.45","10,747.74","10,747.74","-165.56"
"2013/01/22","10,765.10","10,859.42","10,615.20","10,709.93","-37.81"
"2013/01/23","10,575.60","10,663.09","10,486.99","10,486.99","-222.94"
"2013/01/24","10,441.11","10,634.74","10,441.11","10,620.87","+133.88"
"2013/01/25","10,797.30","10,926.65","10,790.95","10,926.65","+305.78"
"2013/01/28","11,002.86","11,002.86","10,824.31","10,824.31","-102.34"
"2013/01/29","10,751.01","10,937.63","10,751.01","10,866.72","+42.41"
"2013/01/30","10,913.97","11,113.95","10,905.64","11,113.95","+247.23"
"2013/01/31","11,057.50","11,145.38","11,007.77","11,138.66","+24.71"
"2013/02/01","11,193.72","11,237.84","11,142.26","11,191.34","+52.68"
"2013/02/04","11,254.16","11,285.49","11,194.74","11,260.35","+69.01"
"2013/02/05","11,105.24","11,170.85","11,046.92","11,046.92","-213.43"
"2013/02/06","11,236.70","11,498.42","11,232.05","11,463.75","+416.83"
"2013/02/07","11,406.32","11,446.81","11,295.62","11,357.07","-106.68"
"2013/02/08","11,179.97","11,299.71","11,135.89","11,153.16","-203.91"
"2013/02/12","11,346.72","11,460.64","11,343.44","11,369.12","+215.96"
"2013/02/13","11,333.72","11,365.27","11,196.66","11,251.41","-117.71"
"2013/02/14","11,273.40","11,356.54","11,243.49","11,307.28","+55.87"
"2013/02/15","11,239.21","11,261.58","11,065.06","11,173.83","-133.45"
"2013/02/18","11,318.22","11,445.46","11,308.83","11,407.87","+234.04"
"2013/02/19","11,336.45","11,412.86","11,336.45","11,372.34","-35.53"
"2013/02/20","11,485.65","11,510.52","11,440.10","11,468.28","+95.94"
"2013/02/21","11,404.73","11,442.11","11,301.77","11,309.13","-159.15"
"2013/02/22","11,238.75","11,390.65","11,175.67","11,385.94","+76.81"
"2013/02/25","11,564.55","11,662.52","11,562.10","11,662.52","+276.58"
"2013/02/26","11,449.66","11,520.24","11,374.83","11,398.81","-263.71"
"2013/02/27","11,418.56","11,419.62","11,253.97","11,253.97","-144.84"
"2013/02/28","11,396.73","11,563.75","11,392.56","11,559.36","+305.39"
"2013/03/01","11,464.71","11,648.63","11,464.71","11,606.38","+47.02"
"2013/03/04","11,695.45","11,767.68","11,613.59","11,652.29","+45.91"
"2013/03/05","11,732.57","11,779.42","11,666.38","11,683.45","+31.16"
"2013/03/06","11,811.06","11,933.82","11,803.09","11,932.27","+248.82"
"2013/03/07","12,037.25","12,069.60","11,946.01","11,968.08","+35.81"
"2013/03/08","12,066.50","12,283.62","12,065.09","12,283.62","+315.54"
"2013/03/11","12,363.09","12,403.95","12,300.83","12,349.05","+65.43"
"2013/03/12","12,433.60","12,461.97","12,314.81","12,314.81","-34.24"
"2013/03/13","12,252.29","12,339.45","12,234.48","12,239.66","-75.15"
"2013/03/14","12,332.16","12,395.73","12,248.65","12,381.19","+141.53"
"2013/03/15","12,437.68","12,560.95","12,434.47","12,560.95","+179.76"
"2013/03/18","12,365.44","12,373.17","12,220.63","12,220.63","-340.32"
"2013/03/19","12,405.61","12,491.16","12,401.12","12,468.23","+247.60"
"2013/03/21","12,592.00","12,650.26","12,586.06","12,635.69","+167.46"
"2013/03/22","12,498.51","12,522.05","12,338.53","12,338.53","-297.16"
"2013/03/25","12,507.61","12,594.36","12,480.42","12,546.46","+207.93"
"2013/03/26","12,461.79","12,540.12","12,456.04","12,471.62","-74.84"
"2013/03/27","12,476.58","12,502.26","12,442.39","12,493.79","+22.17"
"2013/03/28","12,457.13","12,462.86","12,286.37","12,335.96","-157.83"
"2013/03/29","12,405.53","12,425.96","12,319.75","12,397.91","+61.95"
"2013/04/01","12,371.34","12,384.83","12,133.00","12,135.02","-262.89"
"2013/04/02","12,051.57","12,107.40","11,805.78","12,003.43","-131.59"
"2013/04/03","12,112.09","12,362.20","12,102.05","12,362.20","+358.77"
"2013/04/04","12,188.22","12,634.54","12,075.97","12,634.54","+272.34"
"2013/04/05","12,880.82","13,225.62","12,831.10","12,833.64","+199.10"
"2013/04/08","13,082.61","13,225.22","13,080.29","13,192.59","+358.95"
"2013/04/09","13,309.13","13,331.39","13,151.73","13,192.35","-0.24"
"2013/04/10","13,177.31","13,325.15","13,177.31","13,288.13","+95.78"
"2013/04/11","13,444.95","13,549.16","13,384.11","13,549.16","+261.03"
"2013/04/12","13,568.25","13,568.25","13,402.86","13,485.14","-64.02"
"2013/04/15","13,345.86","13,408.29","13,257.86","13,275.66","-209.48"
"2013/04/16","13,023.91","13,312.23","13,004.46","13,221.44","-54.22"
"2013/04/17","13,330.50","13,397.50","13,318.69","13,382.89","+161.45"
"2013/04/18","13,272.22","13,377.74","13,200.85","13,220.07","-162.82"
"2013/04/19","13,268.43","13,338.75","13,186.89","13,316.48","+96.41"
"2013/04/22","13,537.17","13,611.58","13,529.44","13,568.37","+251.89"
"2013/04/23","13,545.60","13,585.35","13,505.53","13,529.65","-38.72"
"2013/04/24","13,687.28","13,843.46","13,686.78","13,843.46","+313.81"
"2013/04/25","13,887.53","13,974.26","13,827.96","13,926.08","+82.62"
"2013/04/26","13,978.98","13,983.87","13,852.20","13,884.13","-41.95"
"2013/04/30","13,854.82","13,897.06","13,778.75","13,860.86","-23.27"
"2013/05/01","13,837.72","13,844.82","13,782.00","13,799.35","-61.51"
"2013/05/02","13,727.25","13,780.48","13,637.96","13,694.04","-105.31"
"2013/05/07","13,960.04","14,196.38","13,951.81","14,180.24","+486.20"
"2013/05/08","14,196.20","14,421.38","14,186.83","14,285.69","+105.45"
"2013/05/09","14,366.95","14,409.82","14,191.48","14,191.48","-94.21"
"2013/05/10","14,449.24","14,636.81","14,426.74","14,607.54","+416.06"
"2013/05/13","14,759.50","14,849.01","14,727.70","14,782.21","+174.67"
"2013/05/14","14,822.56","14,839.79","14,755.08","14,758.42","-23.79"
"2013/05/15","14,962.34","15,108.83","14,956.38","15,096.03","+337.61"
"2013/05/16","15,146.05","15,155.72","14,879.51","15,037.24","-58.79"
"2013/05/17","14,926.42","15,157.32","14,902.30","15,138.12","+100.88"
"2013/05/20","15,260.61","15,381.74","15,245.80","15,360.81","+222.69"
"2013/05/21","15,264.79","15,388.37","15,264.42","15,381.02","+20.21"
"2013/05/22","15,440.69","15,706.63","15,432.64","15,627.26","+246.24"
"2013/05/23","15,739.98","15,942.60","14,483.98","14,483.98","-1,143.28"
"2013/05/24","14,731.75","15,007.50","13,981.52","14,612.45","+128.47"
"2013/05/27","14,373.82","14,381.28","14,027.42","14,142.65","-469.80"
"2013/05/28","13,943.62","14,399.78","13,943.62","14,311.98","+169.33"
"2013/05/29","14,492.55","14,512.28","14,243.49","14,326.46","+14.48"
"2013/05/30","14,072.90","14,098.16","13,555.66","13,589.03","-737.43"
"2013/05/31","13,804.23","13,916.56","13,681.39","13,774.54","+185.51"
"2013/06/03","13,551.36","13,562.87","13,261.82","13,261.82","-512.72"
"2013/06/04","13,186.60","13,610.25","13,060.94","13,533.76","+271.94"
"2013/06/05","13,566.75","13,711.42","13,011.16","13,014.87","-518.89"
"2013/06/06","12,925.29","13,238.53","12,862.02","12,904.02","-110.85"
"2013/06/07","12,706.41","13,106.20","12,548.20","12,877.53","-26.49"
"2013/06/10","13,141.85","13,514.20","13,141.37","13,514.20","+636.67"
"2013/06/11","13,504.77","13,584.31","13,296.31","13,317.62","-196.58"
"2013/06/12","13,087.66","13,332.72","12,994.08","13,289.32","-28.30"
"2013/06/13","13,038.02","13,050.11","12,415.85","12,445.38","-843.94"
"2013/06/14","12,668.90","12,900.65","12,629.31","12,686.52","+241.14"
"2013/06/17","12,584.37","13,033.12","12,549.82","13,033.12","+346.60"
"2013/06/18","13,015.15","13,139.48","12,919.03","13,007.28","-25.84"
"2013/06/19","13,233.08","13,296.62","13,107.65","13,245.22","+237.94"
"2013/06/20","13,101.85","13,190.82","12,966.41","13,014.58","-230.64"
"2013/06/21","12,787.87","13,330.35","12,702.67","13,230.13","+215.55"
"2013/06/24","13,417.54","13,426.13","13,026.23","13,062.78","-167.35"
"2013/06/25","13,081.62","13,234.89","12,758.22","12,969.34","-93.44"
"2013/06/26","13,152.75","13,189.84","12,826.51","12,834.01","-135.33"
"2013/06/27","12,968.72","13,213.55","12,873.50","13,213.55","+379.54"
"2013/06/28","13,383.92","13,724.44","13,354.70","13,677.32","+463.77"
"2013/07/01","13,746.72","13,862.71","13,562.70","13,852.50","+175.18"
"2013/07/02","13,969.15","14,098.74","13,898.54","14,098.74","+246.24"
"2013/07/03","14,149.99","14,164.77","13,984.08","14,055.56","-43.18"
"2013/07/04","13,970.27","14,093.02","13,962.30","14,018.93","-36.63"
"2013/07/05","14,150.85","14,309.97","14,149.50","14,309.97","+291.04"
"2013/07/08","14,491.07","14,497.65","14,109.34","14,109.34","-200.63"
"2013/07/09","14,295.44","14,472.90","14,186.03","14,472.90","+363.56"
"2013/07/10","14,464.82","14,555.33","14,287.69","14,416.60","-56.30"
"2013/07/11","14,275.26","14,496.67","14,275.26","14,472.58","+55.98"
"2013/07/12","14,475.17","14,574.17","14,417.30","14,506.25","+33.67"
"2013/07/16","14,594.88","14,638.80","14,550.89","14,599.12","+92.87"
"2013/07/17","14,491.80","14,615.04","14,460.56","14,615.04","+15.92"
"2013/07/18","14,645.25","14,827.73","14,645.25","14,808.50","+193.46"
"2013/07/19","14,909.76","14,953.29","14,413.28","14,589.91","-218.59"
"2013/07/22","14,770.02","14,770.02","14,514.29","14,658.04","+68.13"
"2013/07/23","14,555.36","14,820.18","14,549.06","14,778.51","+120.47"
"2013/07/24","14,719.64","14,751.87","14,630.68","14,731.28","-47.23"
"2013/07/25","14,747.21","14,748.77","14,533.21","14,562.93","-168.35"
"2013/07/26","14,339.39","14,376.01","14,114.52","14,129.98","-432.95"
"2013/07/29","13,899.27","13,953.85","13,661.13","13,661.13","-468.85"
"2013/07/30","13,634.20","13,909.45","13,613.78","13,869.82","+208.69"
"2013/07/31","13,733.55","13,836.03","13,644.21","13,668.32","-201.50"
"2013/08/01","13,674.50","14,005.77","13,645.61","14,005.77","+337.45"
"2013/08/02","14,178.66","14,466.16","14,146.92","14,466.16","+460.39"
"2013/08/05","14,318.21","14,370.98","14,225.50","14,258.04","-208.12"
"2013/08/06","14,237.10","14,401.06","14,031.61","14,401.06","+143.02"
"2013/08/07","14,155.95","14,164.70","13,824.94","13,824.94","-576.12"
"2013/08/08","13,779.47","14,031.14","13,556.65","13,605.56","-219.38"
"2013/08/09","13,673.49","13,754.96","13,527.81","13,615.19","+9.63"
"2013/08/12","13,469.70","13,658.86","13,430.64","13,519.43","-95.76"
"2013/08/13","13,696.36","13,867.00","13,689.49","13,867.00","+347.57"
"2013/08/14","13,936.74","14,050.16","13,747.18","14,050.16","+183.16"
