"日付","始値","高値","安値","終値","出来高","前日比"
"2014/01/06","1,577.0","1,596.0","1,566.0","1,586.0","4,516,700","+22.0"
"2014/01/07","1,589.0","1,590.0","1,556.0","1,581.0","3,472,200","-5.0"
"2014/01/08","1,584.0","1,647.0","1,581.0","1,638.0","10,484,700","+57.0"
"2014/01/09","1,635.0","1,684.0","1,623.0","1,676.0","8,868,300","+38.0"
"2014/01/10","1,670.0","1,754.0","1,661.0","1,741.0","9,820,000","+65.0"
"2014/01/14","1,703.0","1,745.0","1,677.0","1,717.0","11,012,600","-24.0"
"2014/01/15","1,734.0","1,749.0","1,699.0","1,735.0","11,495,400","+18.0"
"2014/01/16","1,751.0","1,783.0","1,743.0","1,762.0","9,435,200","+27.0"
"2014/01/17","1,762.0","1,807.0","1,747.0","1,798.0","8,315,600","+36.0"
"2014/01/20","1,802.0","1,813.0","1,772.0","1,778.0","10,108,000","-20.0"
"2014/01/21","1,800.0","1,843.0","1,794.0","1,800.0","11,439,900","+22.0"
"2014/01/22","1,810.0","1,815.0","1,762.0","1,781.0","9,752,800","-19.0"
"2014/01/23","1,791.0","1,801.0","1,760.0","1,779.0","7,462,800","-2.0"
"2014/01/24","1,754.0","1,763.0","1,739.0","1,758.0","9,073,200","-21.0"
"2014/01/27","1,718.0","1,757.0","1,715.0","1,732.0","6,444,400","-26.0"
"2014/01/28","1,740.0","1,767.0","1,720.0","1,733.0","8,673,800","+1.0"
"2014/01/29","1,731.0","1,819.0","1,722.0","1,810.0","14,172,000","+77.0"
"2014/01/30","1,785.0","1,800.0","1,683.0","1,736.0","57,340,500","-74.0"
"2014/01/31","1,699.0","1,739.0","1,642.0","1,684.0","28,786,500","-52.0"
"2014/02/03","1,644.0","1,666.0","1,620.0","1,629.0","9,856,700","-55.0"
"2014/02/04","1,549.0","1,587.0","1,512.0","1,517.0","13,949,800","-112.0"
"2014/02/05","1,547.0","1,560.0","1,488.0","1,524.0","11,796,000","+7.0"
"2014/02/06","1,546.0","1,573.0","1,536.0","1,558.0","5,627,500","+34.0"
"2014/02/07","1,595.0","1,596.0","1,533.0","1,563.0","6,806,800","+5.0"
"2014/02/10","1,591.0","1,618.0","1,579.0","1,592.0","8,130,400","+29.0"
"2014/02/12","1,630.0","1,667.0","1,624.0","1,640.0","6,737,100","+48.0"
"2014/02/13","1,635.0","1,653.0","1,596.0","1,637.0","6,773,400","-3.0"
"2014/02/14","1,660.0","1,690.0","1,643.0","1,657.0","6,698,200","+20.0"
"2014/02/17","1,530.0","1,543.0","1,439.0","1,499.0","24,750,300","-158.0"
"2014/02/18","1,520.0","1,550.0","1,472.0","1,524.0","15,285,100","+25.0"
"2014/02/19","1,526.0","1,542.0","1,502.0","1,540.0","8,807,800","+16.0"
"2014/02/20","1,522.0","1,544.0","1,456.0","1,466.0","12,689,100","-74.0"
"2014/02/21","1,491.0","1,512.0","1,456.0","1,463.0","11,982,400","-3.0"
"2014/02/24","1,490.0","1,523.0","1,467.0","1,501.0","9,316,700","+38.0"
"2014/02/25","1,529.0","1,544.0","1,508.0","1,534.0","10,266,600","+33.0"
"2014/02/26","1,516.0","1,545.0","1,513.0","1,543.0","9,264,400","+9.0"
"2014/02/27","1,503.0","1,514.0","1,462.0","1,475.0","13,795,100","-68.0"
"2014/02/28","1,479.0","1,479.0","1,444.0","1,459.0","8,107,900","-16.0"
"2014/03/03","1,430.0","1,442.0","1,391.0","1,419.0","9,697,600","-40.0"
"2014/03/04","1,401.0","1,462.0","1,396.0","1,459.0","7,574,500","+40.0"
"2014/03/05","1,469.0","1,483.0","1,425.0","1,432.0","6,895,100","-27.0"
"2014/03/06","1,417.0","1,427.0","1,395.0","1,420.0","11,646,200","-12.0"
"2014/03/07","1,422.0","1,426.0","1,402.0","1,419.0","6,777,100","-1.0"
"2014/03/10","1,400.0","1,415.0","1,396.0","1,400.0","7,486,000","-19.0"
"2014/03/11","1,411.0","1,414.0","1,397.0","1,402.0","7,147,700","+2.0"
"2014/03/12","1,390.0","1,412.0","1,373.0","1,402.0","9,862,400","0.0"
"2014/03/13","1,414.0","1,414.0","1,359.0","1,365.0","6,059,900","-37.0"
"2014/03/14","1,321.0","1,337.0","1,304.0","1,309.0","8,401,600","-56.0"
"2014/03/17","1,298.0","1,311.0","1,284.0","1,291.0","8,822,200","-18.0"
"2014/03/18","1,321.0","1,344.0","1,314.0","1,317.0","7,280,700","+26.0"
"2014/03/19","1,322.0","1,334.0","1,292.0","1,316.0","9,629,400","-1.0"
"2014/03/20","1,300.0","1,324.0","1,276.0","1,287.0","7,234,800","-29.0"
"2014/03/24","1,270.0","1,343.0","1,261.0","1,314.0","10,688,200","+27.0"
"2014/03/25","1,330.0","1,339.0","1,303.0","1,303.0","6,147,800","-11.0"
"2014/03/26","1,309.0","1,336.0","1,309.0","1,318.0","4,477,500","+15.0"
"2014/03/27","1,304.0","1,322.0","1,262.0","1,316.0","7,387,000","-2.0"
"2014/03/28","1,318.0","1,358.0","1,295.0","1,340.0","9,517,600","+24.0"
"2014/03/31","1,386.0","1,386.0","1,341.0","1,377.0","5,818,200","+37.0"
"2014/04/01","1,382.0","1,402.0","1,353.0","1,386.0","8,900,700","+9.0"
"2014/04/02","1,394.0","1,431.0","1,388.0","1,421.0","8,677,800","+35.0"
"2014/04/03","1,449.0","1,455.0","1,419.0","1,433.0","8,177,500","+12.0"
"2014/04/04","1,436.0","1,439.0","1,415.0","1,419.0","4,677,900","-14.0"
"2014/04/07","1,387.0","1,387.0","1,337.0","1,349.0","9,095,800","-70.0"
"2014/04/08","1,330.0","1,332.0","1,304.0","1,321.0","7,471,000","-28.0"
"2014/04/09","1,315.0","1,347.0","1,300.0","1,300.0","6,911,400","-21.0"
"2014/04/10","1,318.0","1,328.0","1,296.0","1,303.0","5,468,200","+3.0"
"2014/04/11","1,277.0","1,288.0","1,250.0","1,274.0","7,493,400","-29.0"
"2014/04/14","1,257.0","1,274.0","1,218.0","1,250.0","10,113,200","-24.0"
"2014/04/15","1,233.0","1,241.0","1,207.0","1,213.0","10,326,700","-37.0"
"2014/04/16","1,238.0","1,323.0","1,233.0","1,313.0","12,144,500","+100.0"
"2014/04/17","1,318.0","1,349.0","1,306.0","1,308.0","9,346,500","-5.0"
"2014/04/18","1,302.0","1,332.0","1,296.0","1,324.0","6,366,400","+16.0"
